offset_seconds,exchange,symbol,price,volume
0,NSE,RELIANCE,2985.50,1200
0,NSE,TCS,3552.00,800
5,BINANCE,BTCUSDT,99450.00,
10,NSE,RELIANCE,2994.00,900
15,NSE,TCS,3531.25,
20,NSE,RELIANCE,3002.40,1500
25,BINANCE,BTCUSDT,99880.00,0.52
30,NSE,RELIANCE,3011.00,700
35,NSE,TCS,3498.00,1100
40,BINANCE,BTCUSDT,100120.00,0.31
45,NSE,RELIANCE,3018.75,
50,NSE,TCS,3485.50,900
55,BINANCE,ETHUSDT,3048.10,2.5
60,BINANCE,BTCUSDT,100310.00,
70,BINANCE,BTCUSDT,99920.00,0.40
80,BINANCE,BTCUSDT,100050.00,0.22
90,NSE,RELIANCE,2979.00,1300
110,BINANCE,ETHUSDT,2994.60,
120,NSE,TCS,3512.00,600
130,NSE,TCS,3490.00,750
150,BINANCE,BTCUSDT,99800.00,0.35
170,BINANCE,BTCUSDT,100400.00,0.60
200,NSE,RELIANCE,3004.00,1000
240,NSE,RELIANCE,2990.00,
300,NSE,INFY,1585.00,400
310,NSE,INFY,1612.00,450
400,NSE,RELIANCE,3021.50,1400
430,NSE,RELIANCE,3030.00,
450,NSE,RELIANCE,2795.00,2100
460,NSE,RELIANCE,2788.00,
